base,en,es,br,pl
1,This section is under maintenance or under construction. sorry for the inconvenience,Este apartado se encuentra en mantenimiento o en construcción. disculpe las molestias,Esta seção está em manutenção ou em construção. Desculpe pela inconveniência,Ta sekcja jest w trakcie konserwacji lub w budowie. przepraszam za niedogodności
2,Incorrect Passwords,Contraseñas Incorrectas,Senhas incorretas,Nieprawidłowe hasła
3,Empty Fields,Campos Vacíos,Campos vazios,Puste pola
4,You do not have sufficient privileges to enter this section,No tienes los suficientes privilegios para ingresar a este apartado,Você não tem privilégios suficientes para entrar nesta seção,"Nie masz wystarczających uprawnień, aby wejść do tej sekcji"
5,"An internal error has occurred, please contact an administrator","Ha ocurrido un error interno, por favor contactar con un administrador","Ocorreu um erro interno, entre em contato com um administrador",Wystąpił błąd wewnętrzny. Skontaktuj się z administratorem
6,Error,Error,Erro,błąd
7,Error Code,Código de Error,Erro de código,Kod błędu
8,You have not accepted Tibia Kray's policies!,No has aceptado las políticas de Tibia Kray!,Você não aceitou as políticas do Tibia Kray!,Nie zaakceptowałeś zasad Tibia Kray!
9,You do not have permission to enter this site,No tienes los permisos para ingresar a este sitio,Você não tem permissão para entrar neste site,"Nie masz uprawnień, aby wejść na tę witrynę"
10,File size exceeds the limit.,Tamaño del archivo excede el limite.,O tamanho do arquivo excede o limite.,Rozmiar pliku przekracza limit.
11,Your session has expired,Tu sesión ha expirado,Sua sessão expirou,Twoja sesja wygasła
12,It has been processed successfully,Ha sido procesado exitosamente.,Foi processado com sucesso,Zostało pomyślnie przetworzone
13,Saved successfully,Se ha guardado con éxito,Salvo com sucesso,Zapisano pomyślnie
14,It has been generated successfully,Se ha generado con exito,Foi gerado com sucesso,Został pomyślnie wygenerowany
15,"Password change has been requested, check your email if you have a registered account","Se ha solicitado cambio de contraseña, revise su correo electrónico si tiene cuenta registrada","A alteração da senha foi solicitada, verifique seu e-mail se você possui uma conta cadastrada","Poproszono o zmianę hasła. Sprawdź pocztę e-mail, jeśli masz zarejestrowane konto"
16,The time has expired to carry out this process,El tiempo ha expirado para realizar este proceso.,O tempo expirou para realizar este processo,Upłynął czas na przeprowadzenie tego procesu
17,TibiaKray account recovery,Recuperación de cuenta de TibiaKray,Recuperação de conta TibiaKray,Odzyskiwanie konta TibiaKray
